token,cluster_id,freq_in_corpus
concept,0,4
notion,0,4
vision,0,4
intelligent,0,9
sound,0,5
morality,0,6
feel,0,5
sight,0,4
idea,0,12
logic,0,4
didactic,0,4
feels,0,24
think,0,7
ideas,0,11
style,0,10
smell,0,4
thoughts,0,6
thought,0,7
enterprise,1,4
company,1,4
small,1,9
baseball,1,6
sweet,1,13
take,1,15
trying,1,7
effort,1,7
works,1,6
tv,1,10
technical,1,8
subject,1,9
franchise,1,5
structured,1,4
settings,1,4
politics,1,5
powers,1,4
motion,1,4
becomes,2,5
becoming,2,4
turned,2,6
become,2,8
get,2,25
keeps,2,7
stage,2,6
rural,2,4
fields,2,4
got,2,5
gets,2,10
plight,2,4
account,2,4
focus,2,8
work,2,33
find,2,13
turns,2,9
heinous,3,4
awful,3,8
exercise,3,4
away,3,23
ugly,3,5
straight,3,4
endure,3,4
credits,3,6
wacky,3,4
ends,3,8
boxing,3,6
teacher,3,4
outrageous,3,4
evil,3,4
unpleasant,3,6
voices,3,4
reminds,3,4
stars,4,6
star,4,11
one,4,89
popular,4,4
literary,4,4
job,4,8
green,4,6
talented,4,5
central,4,4
writer,4,4
tragic,4,5
disney,4,5
jackson,4,4
debut,4,6
fame,4,6
familiar,4,9
career,4,4
moving,4,13
lack,5,8
lacks,5,11
years,5,15
loss,5,8
flair,5,5
energy,5,6
size,5,4
visible,5,4
year,5,18
money,5,5
general,5,4
obvious,5,7
cultural,5,4
moral,5,5
giant,5,4
films,6,20
movie,6,160
mostly,6,10
cinematic,6,16
images,6,5
picture,6,13
flick,6,10
banal,6,6
productions,6,4
filmmakers,6,10
thriller,6,13
message,6,11
film,6,213
filmmaking,6,4
opera,6,10
movies,6,27
cinema,6,7
kilmer,6,4
sentimentality,7,8
melodrama,7,5
parents,7,5
drawn,7,4
telling,7,4
wry,7,4
derivative,7,4
reflection,7,6
tell,7,4
pathos,7,4
operatic,7,4
moviemaking,7,4
narrative,7,13
unlike,7,5
preachy,7,4
told,7,7
title,7,14
stale,7,8
room,8,4
chamber,8,4
acted,8,9
documentary,8,8
talent,8,12
martha,8,4
packed,8,6
nine,8,6
enjoy,8,11
welcome,8,4
parts,8,5
seen,8,12
played,8,6
made,8,21
skill,8,6
fine,8,8
head,9,6
heads,9,4
saying,9,4
tony,9,6
turkey,9,5
found,9,6
half,9,4
seeing,9,4
pointed,9,4
heart,9,22
remains,9,4
watch,9,12
acting,9,12
say,9,11
jason,9,4
novel,10,5
new,10,27
entire,10,4
another,10,22
home,10,4
joy,10,4
recent,10,5
romance,10,10
sade,10,5
infectious,10,4
family,10,12
latest,10,6
released,10,8
two,10,23
convey,10,4
mesmerizing,11,6
fascinating,11,9
experience,11,11
spectacle,11,6
intriguing,11,10
interesting,11,25
seductive,11,5
riveting,11,5
gripping,11,8
ice,11,4
poignant,11,6
look,11,25
thrilling,11,10
expect,11,5
exciting,11,7
appealing,11,4
view,11,4
tedious,12,6
monotonous,12,4
sometimes,12,10
vivid,12,4
treasure,12,7
ever,12,22
always,12,6
precious,12,4
long,12,25
chemistry,12,6
boring,12,8
dull,12,18
clunky,12,4
everything,12,8
gags,12,5
plain,12,5
reality,12,10
realistic,12,5
infantile,13,4
children,13,8
kids,13,6
epic,13,9
like,13,92
love,13,36
families,13,4
literate,13,4
sad,13,6
son,13,5
young,13,20
moody,13,4
defies,13,4
big,13,40
quirky,13,10
ride,13,6
complex,14,5
convoluted,14,4
land,14,4
men,14,8
dealing,14,4
side,14,4
subtly,14,5
subtle,14,6
sprawling,14,4
dark,14,9
grim,14,4
hard,14,14
study,14,12
complexity,14,6
nuanced,14,4
tough,14,4
distinctive,14,6
adventure,15,5
journey,15,8
wants,15,5
phenomenon,15,4
imagination,15,4
taste,15,8
imagine,15,4
daytime,15,4
clumsy,15,8
price,15,7
barbara,15,4
eyes,15,5
place,15,10
dreams,15,6
tale,15,16
surreal,15,8
trip,15,5
fancy,15,6
car,16,4
world,16,26
makes,16,37
camera,16,9
smart,16,5
recognize,16,4
intellectual,16,4
different,16,8
someone,16,6
beach,16,4
hollywood,16,19
games,16,4
country,16,4
certain,16,6
forced,16,7
body,16,4
next,17,4
coming,17,8
following,17,6
still,17,19
across,17,4
predictable,17,8
strength,17,4
form,17,15
swept,17,4
humanity,17,4
